R&D Spend,Administration,Marketing Spend,Profit
165349.2,136897.8,471784.1,192261.83
162597.7,151377.59,443898.53,191792.06
153441.51,101145.55,407934.54,191050.39
144372.41,118671.85,383199.62,182901.99
142107.34,91391.77,366168.42,166187.94
131876.9,99814.71,362861.36,156991.12
134615.46,147198.87,127716.82,156122.51
130298.13,145530.06,323876.68,155752.6
120542.52,148718.95,311613.29,152211.77
123334.88,108679.17,304981.62,149759.96
101913.08,110594.11,229160.95,146121.95
100671.96,91790.61,249744.55,144259.4
93863.75,127320.38,249839.44,141585.52
91992.39,135495.07,252664.93,134307.35
119943.24,156547.42,256512.92,132602.65
114523.61,122616.84,261776.23,129917.04
78013.11,121597.55,264346.06,126992.93
94657.16,145077.58,282574.31,125370.37
91749.16,114175.79,294919.57,124266.9
